,position,company,city,compensation_min,compensation_max,compensation_currency
220,Data analyst/Data Scientist, Сбербанк для экспертов,Москва,,,
221,Data Scientist (Computer vision), Star-staff,Москва,,,
222,Senior Big Data инженер," Лента, федеральная розничная сеть, IT ",Санкт-Петербург,,,
223,Data Scientist for AntiFraud, Райффайзенбанк,Москва,,,
224,"Аналитик-разработчик (Data Scientist, Big Data)", Тинькофф,"Москва, Водный стадион",,,
225,Data Scientist, ANCOR FinTech,Москва,,,
226,Middle Data Scientist/Middle Python Developer, The Skolkovo Institute of Science and Technology,Москва,,,
227,Senior Data Scientist, Grid Dynamics,"Санкт-Петербург, Горьковская",,,
228,Data scientist (SAS), Diamond Personnel R&C,Москва,,,
229,Data Scientist, EY (Эрнст энд Янг),Москва,,,
230,Data Scientist в R&D центр (анализ текстов), ГК «ВИЗАВИ Консалт»,Сочи,110000.0,130000.0,RUB
231,Data scientist, МСП Банк,Москва,,,
232,Бизнес-аналитик/Data Scientist, Компания ЛБР,"Минск, Академия наук",,,
233,Senior Backend Developer/Data Scientist в Команду Performance Advertising, ВКонтакте,Москва,,,
234,Data Scientist (голосовые технологии), Тинькофф,Новосибирск,,,
235,Аналитик/Data Scientist, Сбербанк для экспертов,Москва,,,
236,Data Scientist, NOVARDIS,Санкт-Петербург,,,
237,Data engineer (Big Data team), DINO Systems,Санкт-Петербург,,,
238,Data Scientist (специалист по предиктивной аналитике),ООО Интеллектика,Ростов-на-Дону,,,
239,Руководитель направления по анализу данных (Data scientist), Сбербанк для экспертов,Москва,,,
240,Go-To-Market Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
241,Преподаватель курса Анализ данных на Python, Nordic IT School,"Москва, Комсомольская и еще 2 ",,,
242,Deep Learning/Computer Vision Engineer, ISS,Москва,,,
243,Senior Data Scientist, Самокат (ООО Умное пространство),"Санкт-Петербург, Петроградская",,,
244,Data scientist (Нижний Новгород), ANCOR FinTech,Новосибирск,,,
245,Data scientist (платформа рекомендательных систем), Сбербанк для экспертов,Москва,,,
246,ML Engineer/ Data Scientist," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,,
247,Data Scientist, Сбербанк для экспертов,Москва,,,
248,Senior Data Scientist/Team Lead (anti-fraud), ЦИАН ГРУПП,"Москва, Преображенская площадь",,,
249,"Data Scientist в R&D центр (временные ряды, классические методы машинного обучения)", ГК «ВИЗАВИ Консалт»,Сочи,110000.0,130000.0,RUB
250,Data Scientist в R&D центр в Сочи (анализ текстов), ГК «ВИЗАВИ Консалт»,Москва,110000.0,130000.0,RUB
251,Data Scientist (myTracker)," Mail.Ru Group, Решения для бизнеса","Москва, Аэропорт",,,
252,Data Scientist, Леруа Мерлен. Центральный офис,Москва,,,
253,Senior Data scientist, Сбербанк для экспертов,Москва,,,
254,Python Developer/Data Scientist for a Swiss Startup, Assaia International AG,Санкт-Петербург,124814.2,224665.56,RUB
255,Аналитик скоринга / Data Scientist, МигКредит,"Москва, Молодежная",80000.0,,RUB
256,BI Analyst/Аналитик Данных, Click,"Санкт-Петербург, Петроградская",,,
257,Senior Go-to-Market Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
258,Data Scientist, Сибур,Нижний Новгород,,,
259,"Data Scientist в R&D центр в Сочи (временные ряды, классические методы машинного обучения)", ГК «ВИЗАВИ Консалт»,Москва,110000.0,130000.0,RUB
260,Data scientist, Сибур,Томск,,,
261,Senior Data Scientist, ЛАНИТ-ТЕХНОЛОГИИ,Москва,,,
262,R&D Analyst/Data scientist, IPONWEB Ltd (UK),Москва,,,
263,Data Scientist, Северсталь. Управляющая компания,"Москва, Войковская",,,
264,Data Scientist (анализ контента), i-FREE,Санкт-Петербург,,,
265,Data Scientist sas SberNBA Кредитные карты, Сбербанк для экспертов,Москва,,,
266,Senior Backend Developer/Data Scientist в Команду Performance Advertising, ВКонтакте,Санкт-Петербург,,,
267,Data Scientist," МАГНИТ, Розничная сеть",Москва,,,
268,Ведущий аналитик данных (Senior Data Scientist),ООО Гудфокаст,"Москва, Калужская",,,
269,Senior Data Science Engineer, Wrike,Санкт-Петербург,,,
270,Data Scientist, JetBrains,"Москва, Белорусская",170000.0,,RUB
271,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Москва,,,
272,Старший аналитик/Data Scientist в продуктовую аналитику," Mail.Ru Group, E-commerce",Москва,,,
273,Инженер по обработке данных / Data Engineer, Сбербанк для руководителей,Москва,,,
274,Data Scientist, Сибур,Москва,,,
275,Аналитик данных (SQL), Сбербанк для экспертов,Санкт-Петербург,170000.0,,RUB
276,Аналитик-разработчик (Data Scientist),ООО Джой Колс Групп,Москва,,,
277,"Стажер/Специалист (Data Scientist, Группа улучшения бизнес-технологии и ИТ)", EY (Эрнст энд Янг),"Москва, Павелецкая",,,
278,Программист-математик (инженер),ЗАО Градиент,Казань,,,
279,ML-инженер / Data Scientist, Интерсвязь,Челябинск,35000.0,80000.0,RUB
280,Аналитик SQL / Data Scientist, АльфаСтрахование,"Москва, Шаболовская",,,
281,Data Scientist, OZON.ru Разработка,Москва,,,
282,Data Scientist/Математик-программист, Ай-Теко (I-Teco),Москва,,,
283,Data Scientist (gamedev), Panoramik,"Санкт-Петербург, Василеостровская и еще 1 ",,,
284,Эксперт аналитического центра / Data scientist, Сибирская генерирующая Компания УК,Новосибирск,100000.0,,RUB
285,Специалист по обработке и анализу данных (Data Scientist), ELMA,Киров,100000.0,,RUB
286,Junior Data scientist (Департамент внутреннего аудита)," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,,
287,Data scientist, КОМПЛИТ,"Санкт-Петербург, Старая Деревня",,,
288,Специалист по машинному обучению / Data Scientist (FinTech), Университет ИТМО,"Санкт-Петербург, Василеостровская",75000.0,,RUB
289,Data scientist (SAS), Сбербанк для экспертов,Москва,,,
290,Аналитик данных (Data Scientist),ООО Форпост,Москва,,,
291,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Екатеринбург,,,
292,Senior/Middle Data Scientist,"АО Ренессанс здоровье, Страховая компания","Москва, Пролетарская",,,
293,Data Scientist / Machine Learning Developer, Peller.Tech Inc,Москва,,,
294,Разработчик-исследователь в области искусственного интеллекта / Data Scientist, Университет ИТМО,"Санкт-Петербург, Василеостровская",80000.0,,RUB
295,Data Analyst / Scientist, Genesis,Киев,,,
296,Data Scientist (Middle), Сбербанк для экспертов,Екатеринбург,,,
297,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
298,Python Data Scientist, Neuro.net,Нижний Новгород,100000.0,150000.0,RUB
299,"Programmatic Analyst, Data Scientist for Eastern Europe"," «Procter & Gamble», Молодой специалист",Москва,95000.0,,RUB
300,Data scientist \ аналитик данных," «Почта России», Офис","Москва, Нагатинская и еще 1 ",,,
301,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Санкт-Петербург,,,
302,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Иннополис,,,
303,Аналитик/Data Scientist, BORK,Москва,,,
304,Artificial Intelligence and Data Analytics Scientist, Aramco Innovations,"Москва, Ломоносовский проспект",,,
305,"Senior Data scientist (NLP, чат бот)", Сбербанк для экспертов,Москва,,,
306,Middle data scientist, oneFactor,Москва,,,
307,Data Scientist, МФИ Софт,Нижний Новгород,,,
308,Data Scientist / Machine Learning Engineer,ООО АЛИБАБА.КОМ (РУ),Москва,,,
309,Senior Data Scientist, Spice Agency,Москва,,,
310,Специалист по обработке и анализу данных (Data Scientist), ELMA,Ижевск,100000.0,,RUB
311,Data Scientist,ТОО Business and Technology Services,Нур-Султан,,,
312,Data Scientist, Align Technology,"Москва, Тульская",,,
313,Data Scientist,АО Фармасинтез,Москва,100000.0,,RUB
314,Data scientist, Сбербанк для экспертов,Екатеринбург,,,
315,Data scientist (Нижний Новгород), ANCOR FinTech,Краснодар,,,
316,Data Scientist (Marketing Research & Analytics), JetBrains,"Санкт-Петербург, Новокрестовская и еще 1 ",,,
317,Junior Data Scientist," EPAM Systems, Inc.",Нижний Новгород,,,
318,Data scientist, Авито,Москва,,,
319,Data Scientist,ООО Расберри Ру,Нижний Новгород,,,
320,Senior Nutrition Scientist (Russia & BUCCA),ООО PepsiCo,"Москва, Сокол",,,
321,Data scientist / quant analyst, Recruitment Boutique S.M.Art,Москва,,,
322,Senior Data Scientist, Сбербанк для экспертов,Екатеринбург,,,
323,Исследователь данных (Data Scientist), IBS,Санкт-Петербург,,,
324,Data Scientist (Старший аудитор), Сбербанк для экспертов,Москва,,,
325,Data Scientist/Аналитик Data Science, Social Discovery Ventures,"Москва, Динамо",,,
326,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Нижний Новгород,110000.0,150000.0,RUB
327,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Казань,110000.0,150000.0,RUB
328,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Краснодар,110000.0,150000.0,RUB
329,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
330,Python developer (Data Engineer), Admitad,"Москва, Дмитровская",,,
331,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Новосибирск,110000.0,150000.0,RUB
332,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Москва,110000.0,150000.0,RUB
